Prop_ID,Name,Location,Zip
Q375,Willets Point Playground,166 St. bet. 16 Ave. and 16 Rd.,11357
B113A,Cadman Plaza Park,"Cadman Plaza West, Cadman Plaza East bet. BQE and Tillary St.",11201
Q376,Cedar Grove Playground,Gravett Rd. bet. Main St. and 149 St.,11367
Q377,Playground Sixty Two LXII,Yellowstone Bl bet. 62 Av and 62 Rd,11375
B113C,Columbus Park,"Adam St., Court St., Cadman Plaza West bet. Johnson St. and Fulton St.",11201
Q378,Ampere Playground,101 Ave. bet. 92 St. and 83 St.,11416
Q383,Middle Village Veterans Triangle,"Gray St., 77 St., 66 Rd.",11379
Q382,Cardozo Playground,Arverne Blvd. bet. Beach 57 St. and Beach 56 St.,11692
Q385,Ditmars Park,Steinway St. bet. 23 Ave. and Ditmars Blvd.,11105
Q381,Francis Lewis Playground,"Francis Lewis Blvd., 201 St. bet. 42 Ave. and Station Rd.",11361
Q344,Emerald Playground,"Jewel Ave., 71 Ave. bet. 163 St. and 164 St.",11365
Q345,Redfern Playground,"Beach 12 St., Redfern Ave.",11691
Q342,Electric Playground,164 St. bet. 65 Ave. and 67 Ave.,11365
Q343,Whitestone Playground,"11 Ave., 12 Ave. bet. 152 St. and 154 St.",11357
Q348,Willow Lake Playground,72 Ave. bet. 112 St. and Grand Central Parkway,11375
Q349,Telephone Playground,75 Ave. bet. Bell Blvd. and 217 St.,11364
Q346,Challenge Playground,251 St. bet. 61 Ave. and 63 Ave.,11362
Q347,Colden Playground,Union St. bet. 31 Rd. and 31 Dr.,11354
Q001A,Alley Athletic Playground,Winchester Blvd. bet. Union Tpke. and the Grand Central Pkwy.,11426
Q352,Hillside Park,82 Ave. bet. 256 St. and 257 St.,11004
Q351,Peters Field,Liberty Ave. bet. 183 St. and 183 Pl.,11423
RZ01,GREENSTREET,"Hylan Blvd & Clove Rd, east triangle",null
RZ02,GREENSTREET,Mc Clean And Norway,null
RZ06,GREENSTREET,Marsh Ave & Platinum Ave,null
Q353,Grassmere Playground,"Grassmere Terr., Briar Pl. bet. Hanson Ct. and Brookhaven Ave.",11691
Q354,Playground Seventy Five,160 St. bet. 75 Ave. and 75 Rd.,11366
Q355,Strippoli Square,"31 Ave., 51 St., 54 St.",11377
B111A,Washington Park,"5 St., 4 St. bet. 4 Ave. and 5 Ave.",11215
Q356,Alley Park,67 Ave. bet. 230 St. and 233 St.,11364
Q358,Detective William T. Gunn Park,235 Ct. bet. Hillside Ave. and 87 Ave.,"11426, 11427"
Q359,Haggerty Park,Jamaica Ave. bet. 202 St. and 204 St.,11423
Q341C,Sherry Dog Run,Queens Blvd. bet. 65 Pl. and the BQE,11377
Q341D,Spargo  Park,BQE bet. 43 Ave. and Queens Blvd.,11377
Q341E,Crosson Green,"68 St., the BQE bet. Woodside Ave. and 43 Ave.",11377
Q341F,Winfield Plaza,"Woodside Ave., 69 St., the BQE",11377
Q361,Moore Homestead Playground,"Broadway., 82 St., 45 Ave.",11373
B190,Barone Triangle,"Ave. U, E. 71 St., Veterans Ave.",11234
Q341A,Park,43 Ave. bet. BQE and 68 St.,11377
Q363,Northern Playground,Northern Blvd. bet. 93 St. and 94 St.,11372
B191,Park,"New Utrecht Ave., 45 St., Ft Hamilton Pkwy.",11219
Q341B,Latham Park,"43 Ave. bet. 66 St. and 67 St., BQE",11377
Q362,Playground Ninety,"89 St., 90 St. bet. Northern Blvd. and Jackson Mill Rd.",11369
B192,Russell Pedersen Playground,Colonial Rd. from 83 St. to 85 St.,11209
